Player
Syed Khaleel Ahmed
Syed Kirmani
T. Natarajan
Thirunavukkarasu Kumaran
Tinu Yohannan
Tirumalai Srinivasan
Umesh Yadav
Umran Malik
Utpal Subodh Chatterjee
VVS Laxman
Vaibhav Sooryavanshi
Vakkadai Biksheswaran Chandrasekhar
Varun Aaron
Varun Chakaravarthy
Venkatapathy Raju
Venkatesh Iyer
Venkatesh Prasad
Venugopal Rao
Vijay Bharadwaj
Vijay Dahiya
Vijay Shankar
Vijay Yadav
Vikram Rathour
Vikram Singh
Vinay Kumar
Vinod Kambli
Virat Kohli
Virender Sehwag
Vivek Razdan
Washington Sundar
Wasim Jaffer
Woorkeri Raman
Wriddhiman Saha
Yajurvindra Singh
Yashasvi Jaiswal
Yashpal Sharma
Yograj Singh
Yusuf Pathan
Yuvraj Singh
Yuzvendra Chahal
Zaheer Khan
Amanjot Kaur
Amita Sharma
Amrita Pratapsinh Shinde
Anagha Deshpande
Anjali Pendharker
Anjali Sarvani
Anjali Sharma
Anju Jain
Anjum Chopra
Anuja Patil
Anushka Sharma
Arati Vaidya
Archana Das
Arunadhati Ghosh
Arundhati Kirkire
Arundhati Reddy
Asha Rawat
Babita Mandlik
Bareddy Anusha
Bharti Fulmali
Bindeshwari Goyal
Challuru Prathyusha
Chanderkanta Kaul
Dayalan Hemalatha
Deepa Madhukar Marathe
Deepti Sharma
Devika Palshikar
Devika Vaidya
Diana David
Diana Edulji
Ekta Bisht
Fowzieh Khalili
Gargi Banerji
Gouher Sultana
Gunalan Kamalini
Harleen Deol
Harmanpreet Kaur
Hemlata Kala
Jaya Sharma
Jemimah Rodrigues
Jhulan Goswami
Jyotsna Patel
Kalpan Paropkari
Kalyani Dhokarikar
Kanika Ahuja
Karu Jain
Kashvee Gautam
Kiran Prabhu Navgire
Kranti Gaud
Latika Kumari
Laya Francis
Lopamudra Bhattacharj
Madhuri Mehta
Mamatha Kanojia
Mamatha Maben
Manimala Singhal
Manju Nadgoda
Mansi Joshi
Meghna Singh
Minnu Mani
Minoti Desai
Mithali Raj
Mithu Mukherjee
Mona Meshram
Monica Patel
Monica Sumra
Neeta Kadam
Neetu David
Neha Tanwar
Nilima Jogalekar
Niranjana Nagarajan
Nooshin Al Khadeer
Nuzhat Parween
Pooja Vastrakar
Poonam Yadav
Pramila S Bhatt
Pratika Rawal
Preeti Bose
Preeti Dimri
Prema Rawat
Priya Mishra
Priya Punia
Priyanka Roy
Punam Raut
Purnima Choudhary
Purnima Rau
Radha Yadav
Raghvi Anand Singh Bist
Rajani Venugopal
Rajeshwari Dholakia
Rajeshwari Gayakwad
Rajeshwari Goyal
Ravi Kalpana
Reema Malhotra
Rekha Godbole
Rekha Punekar
Renu Margrate
Renuka Thakur
Reshma Gandhi
Richa Ghosh
Rishijae Mudgel
Rita Dey
Rita Patel
Ritu Dhrub
Rumeli Dhar
Runa Basu
Rupanjali Shastri
Sabbhineni Meghana
Saika Ishaque
Saima Thakor
Sajeevan Sajana
Samantha Lobatto
Sandhya Agarwal
Sandhya Mazumdar
Sandra Braganza
Sangita Dabir
Sayali Satghare
Seema Desai
Seema Pujare
Shafali Verma
Shanta Rangaswamy
Sharmila Chakraborty
Shashi Gupta
Shikha Pandey
Shilpa Gupta
Shobha Pandit
Shree Charani
Shreyanka Patil
Shubhangi Kulkarni
Shubhlakshmi Sharma
Shyama Shaw
Simran Bahadur
Smitha Harikrishna
Smriti Mandhana
Sneh Rana
Sneha Deepthi
Snehal Pradhan
Soniya Dabir
Sravanthi Naidu
Sreerupa Bose
Sudha Shah
Sujata Sridhar
Sulakshana Naik
Sunetra Paranjpe
Sunita Singh
Susan Itticheria
Sushma Verma
Swagatika Rath
Taniya Bhatia
Tejal Hasabnis
Thirush Kamini
Titas Sadhu
Ujwala Vasudev Nikam
Uma Chetry
Vaishnavi Sharma
Varsha Raffel
Veda Krishnamurthy
Vellaswamy Vanitha
Venkatacher Kalpana
Vrinda Bhagat
Yastika Bhatia
